"bay","behavior","site_track","x","y"
"FB","none","177264_4",529916.650370135,5371452.63163498
"FB","none","177264_4",529924.145860224,5371446.46296887
"FB","none","177264_4",529931.641350313,5371440.29430276
"FB","none","177264_4",529939.136840402,5371434.12563665
"FB","none","177264_4",529946.632330491,5371427.95697054
"FB","none","177264_4",529954.12782058,5371421.78830443
"FB","none","177264_4",529961.623310669,5371415.61963832
"FB","none","177264_4",529965.789146161,5371404.46591689
"FB","none","177264_4",529968.297041206,5371388.8204073
"FB","none","177264_4",529970.804936251,5371373.17489771
"FB","none","177264_4",529973.312831296,5371357.52938813
"FB","none","177264_4",529975.820726341,5371341.88387854
"FB","none","177264_4",529979.015253203,5371323.53390878
"FB","none","177264_4",529981.523148248,5371307.8883992
"FB","none","177264_4",529983.134935003,5371296.50995894
"FB","none","177264_4",529985.642830048,5371280.86444935
"FB","none","177264_4",529987.254616803,5371269.48600909
"FB","none","177264_4",529989.762511848,5371253.8404995
"FB","none","177264_4",529992.95703871,5371235.49052974
"FB","none","177264_4",529994.427357939,5371217.76542193
"FB","none","177264_4",529996.354486838,5371196.46388119
"FB","none","177264_4",529993.934362334,5371183.49218195
"FB","none","177264_4",529989.530312315,5371157.85168534
"FB","none","177264_4",529984.296355814,5371128.21974432
"FB","none","177264_4",529980.925801162,5371109.42532918
"FB","none","177264_4",529976.750286248,5371086.7303451
"FB","none","177264_4",529973.23110788,5371069.61216977
"FB","none","177264_4",529969.306256015,5371049.16272661
"FB","none","177264_4",529965.787077647,5371032.04455128
"FB","none","177264_4",529961.862225783,5371011.59510812
"FB","none","177264_4",529957.686710868,5370988.90012404
"FB","none","177264_4",529958.557596126,5370955.08638224
"FB","none","177264_4",529958.360165705,5370933.54825502
"FB","none","177264_4",529957.765108485,5370909.51740569
"FB","none","177264_4",529957.567678065,5370887.97927847
"FB","none","177264_4",529956.972620844,5370863.94842914
"FB","none","177264_4",529956.547311482,5370840.90960151
"FB","none","177264_4",529955.952254262,5370816.87875217
"FB","none","177264_4",529955.163360223,5370791.82499102
"FB","none","177264_4",529951.737935397,5370783.93187238
"FB","none","177264_4",529946.860465709,5370772.31939709
"FB","none","177264_4",529941.98299602,5370760.7069218
"FB","none","177264_4",529937.105526331,5370749.09444651
"FB","none","177264_4",529943.912585008,5370725.7461836
"FB","none","177264_4",529949.459327872,5370711.45848869
"FB","none","177264_4",529953.704177051,5370702.00700997
"FB","none","177264_4",529955.818639671,5370697.29738062
"FB","none","177264_4",529958.959447475,5370690.30173136
"FB","none","177264_4",529962.100255278,5370683.3060821
"FB","none","177264_4",529966.241069113,5370674.08307785
"FB","none","177264_4",529966.605037508,5370651.66137958
"FB","none","177264_4",529966.516231925,5370624.93900055
"FB","none","177264_4",529966.880200319,5370602.51730228
"FB","none","177264_4",529966.744557656,5370575.10394374
"FB","none","177264_4",529968.308750847,5370563.92393777
"FB","none","177264_4",529975.252912873,5370544.88611216
"FB","none","177264_4",529981.367905186,5370532.7933594
"FB","none","177264_4",529987.482897499,5370520.70060665
"FB","none","177264_4",529993.597889812,5370508.6078539
"FB","none","177264_4",529999.712882126,5370496.51510114
"FB","none","177264_4",530005.827874439,5370484.42234839
"FB","none","177264_4",530010.596139664,5370478.93128986
"FB","none","177264_4",530015.364404889,5370473.44023133
"FB","none","177264_4",530020.132670114,5370467.9491728
"FB","none","177264_4",530025.049889022,5370463.26775052
"FB","none","177264_4",530034.529460529,5370454.24275533
"FB","none","177264_4",530044.009032035,5370445.21776013
"FB","none","177264_4",530062.812893027,5370427.3156064
"FB","none","177264_4",530088.458356196,5370402.89992713
"FB","none","177264_4",530102.909683743,5370384.68245626
"FB","none","177264_4",530116.75382846,5370368.30710419
"FB","none","177264_4",530130.597973177,5370351.93175212
"FB","none","177264_4",530144.442117894,5370335.55640005
"FB","none","177264_4",530158.286262611,5370319.18104798
"FB","none","177264_4",530167.238509031,5370319.28660562
"FB","none","177264_4",530181.082653748,5370302.91125355
"FB","none","177264_4",530190.617847563,5370299.32980322
"FB","none","177264_4",530222.096972288,5370287.50614085
"FB","none","177264_4",530253.576097013,5370275.68247848
"FB","none","177264_4",530271.789583685,5370268.84143287
"FB","none","177264_4",530290.003070356,5370262.00038725
"FB","none","177264_4",530308.216557028,5370255.15934163
"FB","none","177264_4",530324.830816807,5370239.43584793
"FB","none","177264_4",530341.445076586,5370223.71235424
"FB","none","177264_4",530358.059336366,5370207.98886054
"FB","none","177264_4",530374.673596145,5370192.26536685
"FB","none","177264_4",530391.287855925,5370176.54187315
"FB","none","177264_4",530407.902115704,5370160.81837946
"FB","none","177264_4",530439.572367938,5370149.0644724
"FB","none","177264_4",530471.242620172,5370137.31056535
"FB","none","177264_4",530501.284451904,5370126.16102033
"FB","none","177264_4",530525.722885253,5370117.09108641
"FB","none","177264_4",530550.161318602,5370108.02115248
"FB","none","177264_4",530573.160375776,5370095.42125658
"FB","none","177264_4",530599.658312024,5370080.92831903
"FB","none","177264_4",530626.156248273,5370066.43538148
"FB","none","177264_4",530651.119183125,5370048.53510753
"FB","none","177264_4",530676.082117976,5370030.63483359
"FB","none","177264_4",530702.75406477,5370011.58338905
"FB","none","177264_4",530729.426011564,5369992.53194452
"FB","none","177264_4",530756.097958358,5369973.48049999
"FB","none","177264_4",530767.196044074,5369967.9938062
"FB","none","177264_4",530794.776987033,5369944.71235712
"FB","none","177264_4",530813.601402687,5369933.24990002
"FB","none","177264_4",530821.753565157,5369927.45792725
"FB","none","177264_4",530829.905727627,5369921.66595449
"FB","none","177264_4",530838.057890096,5369915.87398173
"FB","none","177264_4",530846.210052566,5369910.08200896
"FB","none","177264_4",530854.362215036,5369904.2900362
